89786	πρόβλημα	pro/blhma	anything projecting, a headland, promontory	πρόϐλημα [gens : ατος (τὸ) ]	saillie (cap, promontoire, etc.) ; ce qu'on a devant soi ; ce qui est proposé	tout ce qui dépasse, un promontoire, un promontoire	alles, was vorsteht, eine Landzunge, ein Vorgebirge	74	4
93953	προστροπή	prostroph/	turning	προστροπή [gens : ῆς (ἡ) ]	action de se tourner vers qqn en suppliant	tournant	Drehen	9	4
99087	σκόροδον	sko/rodon	garlic	σκόροδον [gens : ου (τὸ) ]	ail	Ail	Knoblauch	33	4
100111	στέρνον	ste/rnon	chest	στέρνον [gens : ου (τὸ) ]	partie large et plate qui forme le devant de la poitrine, sternum	poitrine	Truhe	155	4
105293	συνίστωρ	suni/stwr	knowing along with	συνίστωρ [gens : ορος (ὁ, ἡ) ]	qui sait avec un autre, témoin	Connaître avec	Wissend mit	16	4
108370	τριηραρχία	trihrarxi/a	command of a trireme	τριηραρχία [gens : ας (ἡ) ]	commandement d'une trirème ; obligation d'équiper une trirème à ses frais	Commandement d'un trireme	Befehl eines Trireme	59	4
10247	Χερσονησίτης	*xersonhsi/ths	dweller in the Thracian Chersonese	Χερσονησίτης [gens : ου (ὁ) ]	habitant de la Chersonèse de Thrace	Habitant dans le Chersonese de Thrace	Bewohner in der thrakischen Chersonese	19	4
115583	ψευδολογία	yeudologi/a	falsehood	ψευδολογία [gens : ας (ἡ) ]	propos mensonger	mensonge	Lüge	25	4
113531	ὠχρός	w)xro/s	pale	ὠχρός [des : ά, όν, ]	d'un jaune pâle, pâle	pâle	blass	30	4
14377	ἀκρωτηριάζω	a)krwthria/zw	cut off	ἀκρωτηριάζω [tr. intr. ]	couper les extrémités (nez, oreilles, pieds, mains) ; s'avancer comme un promontoire ; couper les éperons ou les ornements ; mutiler	couper	abgeschnitten	18	5
17501	ἀναγωγός	a)nagwgo/s	bringing up	ἀναγωγός [des : ός, όν ]	qui amène en haut, qui provoque l'expulsion de ; qui élève l'âme	élever	Erziehung	9	5
21629	ἀπαθής	a)paqh/s	not suffering	ἀπαθής [des : ής, ές intr. ]	d'où la souffrance est absente.	Ne souffrant pas	Nicht leiden	134	5
32995	διαγανακτέω	diaganakte/w	to be full of indignation	διαγανακτέω	être transporté d'indignation ; s'irriter, s'exacerber	Être plein d'indignation	Voll von entrüstet sein	7	5
4101	Δορύλαος	*doru/laos		Δορύλαος [gens : ου (ὁ) ]	Dorylaos	Dorylaos		9	5
50584	εἰσαγγελτικός	ei)saggeltiko/s	of or for an impeachment	εἰσαγγελτικός [des : ή, όν, ]	qui concerne les poursuites par	de ou pour une mise en accusation	von oder für eine Amtsenthebung	5	5
47482	ἐπιδακρύω	e)pidakru/w	weep over	ἐπιδακρύω	pleurer sur	Pleurer	Weinen vorbei	9	5
67044	κυνίζω	kuni/zw	play the dog	κυνίζω	vivre en chien, en philosophe cynique	Jouer le chien	Spiel den hund	5	5
6149	Λαβώτης	*labw/ths		Λαϐώτης [(ὁ) ]	Labôtès, (h.)	Labôtès, (h.)		6	5
* 69109	λογάδες	loga/des	whites of the eyes	1 λογάδες [gens : ων (αἱ) ]@2 λογάδες > λογάς	blanc de l'œil ; œil@recueilli ; choisi, d'élite ; éloquent	Blancs des yeux	Weiße der Augen	3	5
74273	ναυσίπορος	nausi/poros	traversed by ships	ναυσίπορος > ναύπορος [des : ος, ον ]	fréquenté par les navires	Traversé par des navires	Von Schiffen durchzogen	7	5
84624	περικόπτω	periko/ptw	to cut all round, clip, mutilate	περικόπτω	tailler tout autour	couper tout autour, couper, mutiler	rundum schneiden, klemmen, verstümmeln	29	5
97038	ῥινόν	r(ino/n	a hide	ῥινόν [gens : οῦ (τὸ) ]	peau, cuir ; bouclier	une peau	ein Fell	61	5
9224	Σιληνός	*silhno/s	a figure of Silenus	Σιληνός [gens : οῦ (ὁ) ]	Silènos (Silène)	Une figure de Silenus	Eine Gestalt von Silenus	42	5
100112	στέρομαι	ste/romai	to be without	στέρομαι	être privé de ; être dépouillé	Être sans	Ohne zu sein	81	5
* 98062	σφόδρα	sfo/dra	very, exceedingly	σφόδρα [subst. adv. ]@τὸ σφόδρα (in σφόδρα) [subst. adv. ]	fortement, avec véhémence ; sévèrement, durement ; avec une précision rigoureuse (définir) ; très, fort, tout à fait@la véhémence	très, excessivement	sehr, außerordentlich	870	5
