18418	ἀνέδην	a)ne/dhn	let loose	ἀνέδην [adv. ]	en laissant aller	lâcher	Loslassen	36	920
10139	Τυρταῖος	*turtai=os		Τυρταῖος [gens : ου (ὁ) ]	Tyrtæos (Tyrtée)	Tyrtæos (Tyrtée)		26	920
* 85539	πίθηκος	pi/qhkos	an ape, monkey	πίθηκος [gens : ου (ὁ) ]@ἡ πίθηκος (in πίθηκος) [gens : ου (ὁ) ]	singe@guenon	un singe, un singe	ein Affe, Affe	26	920
33910	διατρέφω	diatre/fw	breed up	διατρέφω	nourrir jusqu'au bout, avec sollicitude, soutenir	Se reproduire	Züchten	20	920
64884	κλυσμός	klusmo/s	liquid used for washing out	κλυσμός [gens : οῦ (ὁ) ]	action de laver, lotion ou lavement	action de laver, lotion ou lavement	Flüssigkeit zum Ausspülen verwendet	15	920
77253	ὀμόργνυμι	o)mo/rgnumi	to wipe	ὀμόργνυμι	essuyer, enlever en essuyant ; supprimer	pour essuyer	Wischen	9	920
114447	χιτώνιον	xitw/nion	woman's frock	χιτώνιον [gens : ου (τὸ) ]	petite tunique de femme ; mauvaise petite tunique	Robe de femme	Frauenrock	9	920
5016	Γορπιαῖος	*gorpiai=os		Γορπιαῖος μήν [(ὁ) ]	le mois (macédonien) Gorpiæos = fin d'août et commencement de septembre	le mois (macédonien) Gorpiæos = fin d'août et commencement de septembre		7	920
51508	εὐεπίθετος	eu)epi/qetos	easy to set upon	εὐεπίθετος [des : ος, ον ]	facile à envahir, à attaquer ; exposé à	Facile à mettre sur	Einfach aufzusetzen	7	920
79316	παιδευτικός	paideutiko/s	of or for teaching	παιδευτικός [des : ή, όν, ]	qui concerne l'instruction	de ou pour l'enseignement	von oder für den Unterricht	5	920
104159	συμπομπεύω	sumpompeu/w	accompany in a procession	συμπομπεύω	aller en procession avec	Accompagner dans une procession	Begleiten in einer Prozession	5	920
? 45280	ἐπαποθνήσκω	e)papoqnh/skw	die after	ἐπαποθνῄσκω	mourir tout de suite après ; mourir sur ou pendant	Mourir après	Sterben nach	3	920
20494	ἀντίγραφος	a)nti/grafos	copied	ἀντίγραφος [des : ος, ον ]	qui est la copie d'un écrit	Copié	Kopiert	33	921
109289	ὑδαρής	u(darh/s	watery	ὑδαρής [des : ής, ές ]	aqueux ; mélangé d'eau, faible ; faible, affaibli, de mauvais aloi ; gris, pâle	aqueux	wässrig	31	921
5017	Γορτύνιος	*gortu/nios		Γορτύνιος [gens : ου (ὁ) ]	habitant ou originaire de Gortyne	habitant ou originaire de Gortyne		27	921
33911	διατρέπω	diatre/pw	turn away	διατρέπω	détourner d'un projet, dissuader ; détourner par la honte ou la crainte, se détourner par confusion, se troubler devant	Faire demi-tour	abwenden	27	921
41137	ἐκκλείω	e)kklei/w	to shut out from	ἐκκλείω	exclure, interdire l'entrée ; empêcher, interdire	se taire	ausschließen	24	921
104160	συμπονέω	sumpone/w	to work with	συμπονέω	souffrir ensemble ; participer ou s'associer aux peines ou aux épreuves de	travailler avec	arbeiten mit	24	921
3993	Διόδοτος	*dio/dotos		Διόδοτος [gens : ου (ὁ) ]	Diodotos, (h.)	Diodotos, (h.)		19	921
62831	κατασιωπάω	katasiwpa/w	keep silence	κατασιωπάω [tr. intr. ]	se taire, rester muet	garder le silence	Sei leise	18	921
112398	ὑποκλύζω	u(poklu/zw	wash from below	ὑποκλύζω	laver en dessous ou par le bas ; submerger, inonder	Laver par le bas	Von unten waschen	15	921
100004	σταθμάω	staqma/w	to measure by rule	σταθμάω	mesurer au cordeau	mesurer par règle	nach Regel messen	14	921
52537	εὐσχολέω	eu)sxole/w	to have abundant leisure	εὐσχολέω	avoir du loisir	Avoir de nombreux loisirs	Reichlich Freizeit haben	11	921
61805	κατάσκιος	kata/skios	shaded	κατάσκιος [des : ος, ον ]	ombragé, couvert de ; qui donne de l'ombrage, qui couvre	Ombragé	Schattiert	10	921
10140	Τυρώ	*turw/	Tyro, daughter of Salmōneus, and mother of Pelias and Neleus by Poseidon	Τυρώ [gens : οῦς (ἡ) ]	Tyrô	Tyro, fille de Salmōneus et mère de Pelias et Neleus de Poseidon	Tyro, Tochter von Salmōneus und Mutter von Pelias und Neleus von Poseidon	8	921
