67225	κώδων	kw/dwn	a bell	κώδων [gens : ωνος (ὁ, att. ἡ) adj. ]	cloche, clochette ; ouverture de la trompette ; tête	une cloche	eine Glocke	16	186
106504	ταύρειος	tau/reios	of bulls, oxen, epith. of Poseidon in Boeotia	ταύρειος [des : α, ον ]	de taureau ; fait de peau de taureau	de taureaux, bœufs, épithètes. de Poséidon en Béotie	von Stieren, Ochsen, Beinamen. von Poseidon in Böotien	15	186
84805	περιπέλομαι	peripe/lomai	to move round, be round about	περιπέλομαι	se mouvoir autour ; se mouvoir au-dessus de, l'emporter sur	se déplacer, être rond	um sich zu bewegen, sei rund	11	186
38323	ἐξάνειμι	e)ca/neimi	go forth from	ἐξάνειμι	se lever et sortir de, venir de ; revenir de	Sortir de	Geh aus	8	186
! 5306	Καρχηδονιακός	*karxhdoniako/s						6	186
8381	Πραξίτας	*praci/tas		Πραξίτας [(ὁ) ]	Praxitas	Praxitas		5	186
? 20784	ἀντικαταθνήσκω	a)ntikataqnh/skw	die	ἀντικαταθνῄσκω	mourir à son tour (v.)	mourir	sterben	3	186
? 26978	ἀχρήιστος	a)xrh/istos		ἀχρήϊστος [des : ος, ον, ]	inutile			3	186
* 74458	νειοκόρος	neioko/ros		νειοκόρος > νεωκόρος [gens : ου (ὁ, ἡ) ]@νειοκόρος > νεωκόρος [gens : ου (ὁ, ἡ) ]	celui qui nettoie ou entretient un navire@gardien d'un temple			3	186
? 86861	πολύειδος	polu/eidos	of many kinds	Πολύειδος [gens : ου (ὁ) ]	Polyeidos	De plusieurs sortes	Von vielen Arten	3	186
? 94135	προυφαιρέω	proufaire/w	snatch	προϋφαιρέω	enlever secrètement auparavant	arracher	Schnappen	3	186
87888	πορνεύω	porneu/w	to prostitute	πορνεύω	vivre dans la prostitution, faire métier de prostituée ou de prostitué	se prostituer	zu prostituieren	29	187
* 9406	Σπάρτακος	*spa/rtakos		Σπάρτακος [gens : ου (ὁ) ]@Σπάρτακος < Σπάρτοκος [gens : ου (ὁ) ]	Spartacus, (gladiateur célèbre)@Spartokos			20	187
21811	ἀπείθεια	a)pei/qeia	disobedience	ἀπείθεια [gens : ας (ἡ) ]	désobéissance ; défiance, incrédulité	désobéissance	Ungehorsam	18	187
64147	κήρινος	kh/rinos	waxen	κήρινος [des : η, ον ]	de cire	cireux	wächsern	13	187
70318	μαψίδιος	mayi/dios	vain, false	μαψίδιος [des : α, ον ]	vain	vain, faux	eitel, falsch	12	187
24923	ἀποψάω	a)poya/w	to wipe off	ἀποψάω	ôter en frottant, essuyer ; essuyer, nettoyer ; ôter en essuyant sur soi ; essuyer, nettoyer (sur soi ou pour soi)	essuyer	abwischen	11	187
? 34859	διχοτόμος	dixoto/mos	cutting in two	διχότομος [des : ος, ον ]	coupé en deux	Coupant en deux	Schneiden in zwei	3	845
34830	διχότομος	dixo/tomos	cut in half, divided equally	διχότομος [des : ος, ον ]	coupé en deux	coupé en deux, divisé également	halbieren, gleichmäßig teilen	3	816
35039	δολιχός	dolixo/s	long	δολιχός [des : ή, όν adv. ]	long	longue	lange	32	1
34908	δόλιχος	do/lixos	the long course	δόλιχος [gens : ου (ὁ) adj. ]	le long stade ; sorte de haricot, la fève	Le long cours	Der lange Kurs	18	894
35053	δολοφόνος	dolofo/nos	slaying by treachery, privy to treacherous murder	δολοφόνος [des : ος, ον, ]	qui tue par trahison	tuer par trahison, au courant d'un meurtre perfide	durch Verrat getötet, in verräterischen Mord eingeweiht	3	15
? 35046	δολόφονος	dolo/fonos	slaying by treachery	δολοφόνος [des : ος, ον, ]	qui tue par trahison	Tuer par la trahison	Töten durch Verrat	3	8
34911	δόλων	do/lwn	a secret weapon, poniard, stiletto	δόλων [gens : ωνος (ὁ) ]	arme (poignard, épée, etc.) cachée dans une canne ; engin de pêche ; petit hunier, la plus petite voile fixée à l'avant d'un navire ; cordage pour manœuvrer le petit hunier	une arme secrète, un poignard, un stylet	eine Geheimwaffe, Poniard, Stilett	3	897
4081	Δόλων	*do/lwn	Dolon	Δόλων [gens : ωνος (ὁ) ]	Dolôn	Dolon	Dolon	16	1009
