19038	ἀνοίκειος	a)noi/keios	not of the family	ἀνοίκειος [des : ος, ον ]	non familier avec, qui s'accorde mal avec ; non approprié, qui ne convient pas, impropre	Pas de la famille	Nicht von der Familie	15	516
103753	συμβιβάζω	sumbiba/zw	to bring together	συμϐιϐάζω	rapprocher, réunir	rassembler	zusammenbringen	13	516
44876	ἐνύπνιος	e)nu/pnios	in dreams appearing	ἐνύπνιος [des : ος, ον, ]	qui apparaît en songe	dans les rêves apparaissant	in Träumen erscheinen	11	516
114043	χέλυς	xe/lus	tortoise	χέλυς [gens : υος (ἡ) ]	tortue	tortue	Schildkröte	10	516
7685	Παιονικός	*paioniko/s	their land	Παιονικός [des : ή, όν ]	de Pæonie ; de Pannonie	Leur terre	ihr Land	8	516
47997	ἐπικτυπέω	e)piktupe/w	make	ἐπικτυπέω	faire du bruit en frappant sur ; retentir, faire écho, répondre	faire	machen	7	516
3588	Βρύσων	*bru/swn		Βρύσων [gens : ωνος (ὁ) ]	Brysôn	Brysôn		5	516
39681	ἐγκυκλόω	e)gkuklo/w	move round in a circle	ἐγκυκλόω	faire tourner tout autour, promener (ses regards) autour de soi ; former en cercle, avoir une forme circulaire, être enroulé	Se déplacer en cercle	Bewegen sich im Kreis	5	516
65507	κολοσυρτός	kolosurto/s	a noisy rabble	κολοσυρτός [gens : οῦ (ὁ) ]	bruit, tumulte, tapage ; foule tumultueuse	une racaille bruyante	ein lautes Gesindel	5	516
91386	πρόσκρουσμα	pro/skrousma	that against which one strikes	πρόσκρουσμα [gens : ατος (τὸ) ]	ce contre quoi on se heurte, obstacle	Contre lequel on frappe	Das, gegen das man schlägt	5	516
? 111991	ὑπόπεμπτος	u(po/pemptos	sent covertly	ὑποπέμπτος [des : ος, ον, ]	envoyé secrètement, aposté comme espion	Envoyé secrètement	Verschwommen	3	516
24229	ἀπομιμέομαι	a)pomime/omai	express by imitation	ἀπομιμέομαι	imiter, reproduire ; imité fidèlement.	Exprimer par imitation	Durch Nachahmung ausdrücken	26	517
1541	Ἀναξίλαος	*)anaci/laos		Ἀναξίλαος [gens : ου (ὁ) ]	Anaxilaos, (h.)	Anaxilaos, (h.)		25	517
* 109911	ὑπένερθε	u(pe/nerqe	underneath, beneath	ὑπένερθε [adv. prép. ]@οἱ ὑπένερθε (in ὑπένερθε) [adv. prép. ]	au-dessous de@les habitants des enfers	dessous, dessous	darunter, unten	25	517
* 6661	Μαιάνδριος	*maia/ndrios	winding	2 Μαιάνδριος [gens : ου (ὁ) ]@1 Μαιάνδριος [des : α, ον, ]	Mæandrios, (h.)@du Méandre	enroulement	Gewunden	22	517
8712	Θεμίσκυρα	*qemi/skura	Themiscyra, town in Pontus	Θεμίσκυρα [gens : ας (ἡ) ]	Thémiskyra	Themiscyra, ville de Pontus	Themiscyra, Stadt in Pontus	18	517
33507	διαπεραιόω	diaperaio/w	to take across, ferry over	διαπεραιόω	séparer, tirer, extraire ; transporter ; traverser (une mer)	traverser, traverser	überqueren, Fähre über	18	517
100626	στοχασμός	stoxasmo/s	guessing	στοχασμός [gens : οῦ (ὁ) ]	action de viser, d'avoir en vue ; action de conjecturer	devinant	Raten	15	517
73462	μορμώ	mormw/	she-monster	μορμώ [gens : όος-οῦς (ἡ) interj. ]	figure grimaçante de femme ; horreur ! oh ! grands dieux !	Elle-monstre	Sie-monster	3	220
? 7172	Μορμώ	*mormw/	she-monster	μορμώ [gens : όος-οῦς (ἡ) interj. ]	figure grimaçante de femme ; horreur ! oh ! grands dieux !	Elle-monstre	Sie-monster	5	3
73060	μόρσιμος	mo/rsimos	appointed by fate, destined	μόρσιμος [des : ος η, ον ]	marqué par le destin, fatal ; marqué par le destin pour la mort ; exposé à la mort, mortel	nommé par le destin, destiné	vom Schicksal ernannt, bestimmt	36	844
7131	Μόρσιμος	*mo/rsimos	appointed by fate	Μόρσιμος [gens : ου (ὁ) ]	Morsimos, (h.)	Nommé par le destin	Vom Schicksal bestimmt	3	986
7135	Μόσχος	*mo/sxos	young shoot	Μόσχος [gens : ου (ὁ) ]	Moskhos (Moschus)	Jeune shoot	Junge schießen	14	990
? 73501	μουνυχία	mounuxi/a	inhabitant of the place	Μουνυχία > Μουνιχία [gens : ας (ἡ) ]	Mounikhia (Munichie)	Habitant du lieu	Einwohner des Ortes	3	259
7188	Μουνυχία	*mounuxi/a	inhabitant of the place	Μουνυχία > Μουνιχία [gens : ας (ἡ) ]	Mounikhia (Munichie)	Habitant du lieu	Einwohner des Ortes	3	19
