97009	ῥιγόω	r(igo/w	to be cold, shiver from cold	ῥιγόω	être saisi de froid, frissonner	avoir froid, frissonner de froid	kalt sein, vor Kälte zittern	38	1000
106294	τακτός	takto/s	ordered	τακτός [des : ή, όν ]	réglé, fixé, déterminé ; ordonné, commandé	commandé	Bestellt	32	1000
39141	ἐδώδιμος	e)dw/dimos	eatable	ἐδώδιμος [des : ος, ον, ]	mangeable, bon à manger, comestible	mangeable	essbar	24	1000
33990	διαχωρίζω	diaxwri/zw	separate	διαχωρίζω	diviser, séparer	séparé	getrennte	22	1000
17472	ἀναγνώρισις	a)nagnw/risis	recognition	ἀναγνώρισις [gens : εως (ἡ) ]	action de reconnaître	reconnaissance	Anerkennung	19	1000
4072	Διώνη	*diw/nh	Dione	Διώνη [gens : ης (ἡ) ]	Diônè	Dione	Dion	18	1000
2024	Ἀρτεμίσιος	*)artemi/sios		Ἀρτεμίσιος [gens : ου (ὁ) ]	Artémisios	Artémisios		15	1000
25741	ἀρρώστημα	a)rrw/sthma	illness	ἀρρώστημα [gens : ατος (τὸ) ]	faiblesse, maladie ; infirmité morale	maladie	Krankheit	14	1000
85619	πικρόχολος	pikro/xolos	full of bitter bile	πικρόχολος [des : ος, ον, ]	qui a une bile amère	Plein de bile amère	Voll von bitterer Galle	14	1000
114527	χλοερός	xloero/s	verdant	χλοερός > χλωρός [des : ά, όν, ]	d'un vert tendre comme les jeunes pousses ; vert, p. opp. à sec, qui a toute sa sève, encore frais	verdoyant	Grün	12	1000
3048	Ὠγυγία	*)wgugi/a	Ogygia, a mythical island in the Mediterranean, the abode of Calypso	Ὠγυγία [gens : ας (ἡ) ]	Ôgygia	Ogygia, une île mythique de la Méditerranée, la demeure de Calypso	Ogygia, eine mythische Insel im Mittelmeer, der Wohnsitz von Calypso	11	1000
10219	Χαρμῖνος	*xarmi=nos		Χαρμῖνος [gens : ου (ὁ) ]	Kharminos, (h.)	Kharminos, (h.)		11	1000
30881	δεκαδαρχία	dekadarxi/a	government of ten	δεκαδαρχία [gens : ας (ἡ) ]	le gouvernement des Dix ; commandement de dix hommes, charge de décurion	Gouvernement de dix	Regierung von zehn	10	1000
44330	ἐνεργής	e)nergh/s	active	ἐνεργής [des : ής, ές, ]	agissant, actif, efficace	actif	aktiv	9	1000
19522	ἀντεξετάζω	a)nteceta/zw	try	ἀντεξετάζω	rechercher ou prouver en opposant, comparer	essayer	Versuchen	7	1000
32966	διαφθορεύς	diafqoreu/s	corrupter	διαφθορεύς [gens : έως (ὁ) ]	qui détruit, qui viole (les lois)	Corrupteur	Verführer	7	1000
53644	φιλοκαλέω	filokale/w	love the beautiful	φιλοκαλέω	aimer les belles choses ; mettre son amour-propre à, mettre tout son soin à	Aime la belle	Liebe das schöne	7	1000
! 57747	ἴπτομαι	i)/ptomai	to press hard, oppress			appuyer fort, opprimer	hart drücken, unterdrücken	5	1000
72188	μετεωρολογία	metewrologi/a	discussion of τὰ μετέωρα	μετεωρολογία [gens : ας (ἡ) ]	recherche ou traité sur les corps ou les phénomènes célestes	discussion de τὰ μετέωρα	Diskussion von τὰ μετέωρα	5	1000
? 9195	Σιβυλλιστής	*sibullisth/s	believer in the Sibyl	σιϐυλλιστής [gens : οῦ (ὁ) ]	qui prédit d'après les Livres sibyllins	Croyant à la Sibylle	Glaubt an die Sibylle	3	1000
104240	συνάλλαγμα	suna/llagma	covenant	συνάλλαγμα [gens : ατος (τὸ) ]	échange de relations, commerce intime ; relations d'affaires	engagement	Bündel	32	1001
8172	Πλευρών	*pleurw/n	Pleuron	Πλευρών [gens : ῶνος (ἡ) ]	Pleurôn (auj. ruines près de Mesókampos) (v.) ; le territoire de Pleurôn	Pleuron	Pleuron	31	1001
6121	Λάκριτος	*la/kritos		Λάκριτος [gens : ου (ὁ) ]	Lakritos	Lakritos		21	1001
35015	δολερός	dolero/s	deceitful	δολερός [des : ά, όν, ]	rusé, faux, trompeur, perfide	trompeur	Betrügerisch	21	1001
75275	νύσσα	nu/ssa	posts	νύσσα [gens : ης (ἡ) ]	borne à l'extrémité de la carrière et que l'on tournait pour revenir	des postes	Beiträge	10	1001
