105798	συσκηνέω	suskhne/w	live in the same tent with	συσκηνέω	loger sous la même tente avec ; vivre ou manger ensemble	Vivre dans la même tente avec	Wohne im selben Zelt	9	508
46944	ἐπίδειγμα	e)pi/deigma	pattern	ἐπίδειγμα [gens : ατος (τὸ) ]	marque, exemple, preuve	modèle	Muster	8	508
64468	κινύρομαι	kinu/romai	utter a plaintive sound	κινύρομαι [tr. intr. ]	se lamenter, gémir ; déplorer ; faire retentir	Prononcer un son plaintif	Einen klagenden Klang aussprechen	8	508
508	Ὑάδες	*(ua/des	the Hyades	Ὑάδες [gens : ων (αἱ) ]	les Hyades, « les pluvieuses »	Les Hyades	Die Hyaden	5	508
18006	ἀναθυμιάω	a)naqumia/w	vaporize	ἀναθυμιάω	faire s'en aller en vapeur, en fumée ; s'évaporer ; s'exhaler ; attirer à soi des vapeurs	vaporiser	verdampfen	5	508
21106	ἀντιστασιαστής	a)ntistasiasth/s	one of the opposite faction	ἀντιστασιαστής [gens : οῦ (ὁ) ]	qui est d'un parti contraire, adversaire politique	qui est d'un parti contraire, adversaire politique	Eine der entgegengesetzten Fraktionen	5	508
44868	ἐντυπόω	e)ntupo/w	carve	ἐντυπόω	empreindre dans	tailler	schnitzen	5	508
? 7677	Παιηόνιος	*paiho/nios	healing	παιηόνιος [des : α, ον, ]	qui guérit	guérison	Heilung	3	508
? 10755	ἁμαξοτροχιά	a(macotroxia/	track of a wain	ἁμαξοτροχία [gens : ας (ἡ) ]	trace des roues d'un char	Trace d'un wain	Spur eines Wains	3	508
94458	πτερόω	ptero/w	furnish with feathers	πτερόω	munir d'ailes ou de plumes	Fournir avec des plumes	Mit Federn versorgen	34	509
21107	ἀντιστασιώτης	a)ntistasiw/ths	one of the opposite faction	ἀντιστασιώτης > ἀντιστασιαστής [gens : ου (ὁ) ]	qui est d'un parti contraire, adversaire politique	Une des factions opposées	Eine der entgegengesetzten Fraktionen	21	509
70642	μεγιστᾶνες	megista=nes		μεγιστᾶνες [gens : ων (οἱ) ]	les grands, les premiers de l'État	les grands, les premiers de l'État		21	509
39674	ἐγκύρω	e)gku/rw	to fall in with, light upon, meet with	ἐγκύρω	tomber sur, rencontrer	tomber avec, allumer, rencontrer	hereinfallen mit, Licht auf, treffen mit	17	509
11795	ἄρκιος	a)/rkios	sufficient, sure, certain	ἄρκιος [des : α, ον, ]	qui écarte (le mal, le danger, etc.)	suffisant, sûr, certain	ausreichend, sicher, sicher	16	509
! 15915	ἀμπλακεῖν	a)mplakei=n	to miss, fail or come short of			manquer, échouer ou manquer	zu verpassen, zu scheitern oder zu kurz zu kommen	15	509
41749	ἐκτιτρώσκω	e)ktitrw/skw	bring forth untimely	ἐκτιτρώσκω [tr. intr. ]	mettre au monde par avortement ; avorter	Se manifester inopinément	Hervorstechen	13	509
100618	στοργή	storgh/	love	στοργή [gens : ῆς (ἡ) ]	tendresse, tendresse paternelle ou filiale ; amour	amour	Liebe	13	509
72530	μηχανεύς	mhxaneu/s	contriver	μηχανεύς [gens : έως (ὁ) ]	l'inventeur, l'ingénieux	Contriver	Contriver	3	314
? 7039	Μηχανεύς	*mhxaneu/s	contriver	μηχανεύς [gens : έως (ὁ) ]	l'inventeur, l'ingénieux	Contriver	Contriver	3	894
72609	μιαιφόνος	miaifo/nos	blood-stained, bloody	μιαιφόνος [des : ος, ον, ]	souillé d'un meurtre, homicide, meurtrier	taché de sang, sanglant	blutbefleckt, blutig	33	393
? 72607	μιαίφονος	miai/fonos	bloodthirsty	μιαιφόνος [des : ος, ον, ]	souillé d'un meurtre, homicide, meurtrier	sanguinaire	Blutrünstig	3	391
72598	μῖγμα	mi=gma	mixture, compound	μῖγμα [gens : ατος (τὸ) ]	mélange	mélange, composé	Mischung, Verbindung	6	382
72559	μίγμα	mi/gma	mixture	μίγμα < μῖγμα [gens : ατος (τὸ) ]	mélange	mélange	Mischung	3	343
! 7065	Μιγωνῖτις	*migwni=tis						3	920
! 7064	Μιγώνιτις	*migw/nitis						3	919
