86521	ποδοστράβη	podostra/bh	snare	ποδοστράϐη [gens : ης (ἡ) ]	instrument de chirurgie ou de torture pour tordre les pieds ; piège pour les cerfs	piège	Schlinge	11	870
112347	ὑποκάθημαι	u(poka/qhmai	to be seated down in a place, station oneself	ὑποκάθημαι	être accroupi	être assis dans un endroit, se stationner	sich an einen Ort setzen, sich selbst stationieren	11	870
59669	καπηλεῖον	kaphlei=on	shop of a κάπηλος, freq. of a tavern	καπηλεῖον [gens : ου (τὸ) ]	boutique de vin et d'épicerie, cabaret	boutique d'un κάπηλος, fréq. d'une taverne	Geschäft eines κάπηλος, freq. einer Taverne	8	870
104109	συμπιέζω	sumpie/zw	press	συμπιέζω	presser ensemble, comprimer ; resserrer, réduire	presse	Drücken Sie	6	870
63806	κελευσμός	keleusmo/s	order	κελευσμός [gens : οῦ (ὁ) ]	ordre, commandement	commande	Auftrag	5	870
66885	κυκλεύω	kukleu/w	wind round	κυκλεύω [tr. intr. ]	décrire un cercle autour ; entourer, envelopper	Rond de vent	Wind runden	5	870
108212	τρίχινος	tri/xinos	of hair	τρίχινος [des : η, ον ]	fait de crin ou de poils	Des cheveux	Von haaren	5	870
? 49385	ἐρέικω	e)re/ikw	to rend	ἐρείκω [tr. intr. ]	se briser	rendre	zu zerreißen	3	870
74113	νάω	na/w	to flow	νάω	couler	couler	fließen	23	871
27667	αὐαίνω	au)ai/nw	to dry, to wither away	αὐαίνω [tr. intr. ]	faire sécher ; se dessécher, être desséché, être sec	sécher, dépérir	trocknen, verdorren	19	871
24583	ἀποσκήπτω	a)poskh/ptw	to hurl from above	ἀποσκήπτω [tr. intr. ]	appuyer sur	lancer d'en haut	von oben schleudern	16	871
8042	Πετεώς	*petew/s	Peteos, father of Menestheus	Πετεώς [gens : εώ (ὁ) ]	Pétéôs, (h.)	Peteos, père de Menestheus	Peteos, Vater von Menestheus	12	871
98930	σκιάω	skia/w	to overshadow	σκιάω	couvrir de son ombre	éclipser	zu überschatten	9	871
9066	Σαυνῖτις	*sauni=tis	region of the Samnites	Σαυνῖτις [gens : ιδος (ἡ) ]	le territoire des Samnites	région des Samnites	Region der Samniten	8	871
58646	κάνδυς	ka/ndus	Median double	κάνδυς [gens : υος (ὁ) ]	robe de dessus	Double médian	Median Doppel	6	871
19393	ἀνταδικέω	a)ntadike/w	injure in return	ἀνταδικέω	faire du tort en échange	Blesser en retour	Verletzung im Gegenzug	5	871
85491	πημονή	phmonh/	suffering, misery, calamity, woe, bane	πημονή [gens : ῆς (ἡ) ]	> πῆμα ; sujet d'affliction, paroles propres à affliger	souffrance, misère, calamité, malheur, fléau	Leiden, Elend, Unglück, Leid, Fluch	34	872
39013	ἐξορκόω	e)corko/w	administer an oath to; make one swear by	ἐξορκόω	faire prêter serment	faire prêter serment; faire jurer	einen Eid ablegen; einen schwören lassen	21	872
109240	ὕψι	u(/yi	on high, aloft	ὕψι [adv. ]	en haut	en haut, en altitude	in der Höhe, in der Luft	20	872
48358	ἐπιπλέκω	e)piple/kw	wreathe	ἐπιπλέκω	entrelacer, tresser (une guirlande, une couronne)	tresser	winden	12	872
98931	σκιάζω	skia/zw	to overshadow, shade	σκιάζω	couvrir d'ombre ; ombrer	ombrage, ombre	zu überschatten, Schatten	11	872
27668	αὐαλέος	au)ale/os	dry	αὐαλέος [des : α, ον ]	desséché, sec	sec	trocken	7	872
76178	ὁποτέρωσε	o(pote/rwse	in which of two directions	ὁποτέρωσε [adv. ]	vers lequel des deux endroits	Dans laquelle de deux directions	In welcher von zwei richtungen	6	872
1896	Ἀριαπείθης	*)ariapei/qhs		Ἀριαπείθης [(ὁ) ]	Ariapeithès	Ariapeithès		5	872
32836	διαβασανίζω	diabasani/zw	test thoroughly	διαϐασανίζω	explorer, sonder (éprouver) par tous les moyens possibles	Testez bien	Gründlich prüfen	5	872
