69718	μάχη	ma/xh	fight, battle	μάχη [gens : ης (ἡ) ]	combat, bataille ; champ de bataille	combat, bataille	kämpfen, kämpfen	2873	612
* 83137	πεντακόσιοι	pentako/sioi	five hundred	πεντακόσιοι [des : αι, α ]@οἱ πεντακόσιοι (in πεντακόσιοι) [des : αι, α ]	cinq cents@le Conseil des Cinq Cents	cinq cents	fünfhundert	532	612
26379	ἀστός	a)sto/s	a townsman, citizen	ἀστός [gens : οῦ (ὁ) ]	habitant d'une ville, citadin ; citoyen originaire d'Athènes	un citadin, citoyen	ein Bürger, Bürger	235	612
111039	ὑπνόω	u(pno/w	to sleep	ὑπνόω [tr. intr. ]	endormir ; s'endormir, dormir	dormir	schlafen	42	612
71801	μεταβολή	metabolh/	change, transaction	μεταϐολή [gens : ῆς (ἡ) tr. intr. ]	déplacement	changement, transaction	ändern, Transaktion	625	613
105903	συχνός	suxno/s	long	συχνός [des : ή, όν adv. ]	continu ; rapproché l'un de l'autre, compact ; de beaucoup meilleur	longue	lange	318	613
107955	τραγῳδία	tragw|di/a	tragedy	τραγῳδία [gens : ας (ἡ) ]	chant du bouc, chant religieux dont on accompagnait le sacrifice d'un bouc aux fêtes de Bacchus ; action de jouer la tragédie	la tragédie	Tragödie	202	613
69719	μάχιμος	ma/ximos	fit for battle	μάχιμος [des : η ος, ον ]	propre au combat, aux valets d'armée, aux marchands qui suivent les troupes ; d'humeur batailleuse, belliqueux ; qui concerne le combat	Apte à la bataille	Fit für den Kampf	147	613
6758	Μασσανάσσης	*massana/sshs		Μασσανάσσης > Μασσινισσᾶς [gens : ου (ὁ) ]	Massinissa, roi de Numidie	Massinissa, roi de Numidie		120	613
66629	κτύπος	ktu/pos	any loud noise, a crash	κτύπος [gens : ου (ὁ) ]	bruit produit par un choc, bruit retentissant	tout bruit fort, un crash	jedes laute Geräusch, ein Absturz	76	614
49127	ἐπόμνυμι	e)po/mnumi	to swear after, swear accordingly	ἐπόμνυμι	jurer en outre, confirmer ce qu'on dit par un serment ; jurer de nouveau ; jurer à la suite de qqn	jurer après, jurer en conséquence	danach schwören, entsprechend schwören	75	614
74889	νῆσος	nh=sos	island	νῆσος [gens : ου (ἡ) ]	île ; presqu'île	île	Insel	1393	615
86262	πλούσιος	plou/sios	wealthy, opulent	πλούσιος [des : α, ον : ]	riche, opulent ; copieux, abondant	riche, opulent	reich, opulent	571	615
11903	ἄσκησις	a)/skhsis	exercise	ἄσκησις [gens : εως (ἡ) ]	exercice, pratique (d'un art, etc.) ; exercices gymniques, genre de vie des athlètes ; genre de vie, profession	exercice	Übung	95	615
116194	ζώνη	zw/nh	a belt, girdle	ζώνη [gens : ης (ἡ) ]	ceinture	une ceinture, une ceinture	ein Gürtel, Gürtel	66	615
100724	στρεβλόω	streblo/w	twist	στρεϐλόω	tordre	torsion	Twist	56	615
69722	μάχομαι	ma/xomai	fight	μάχομαι	combattre	bats toi	Kampf	1488	616
* 8811	Θηβαῖος	*qhbai=os	Theban	Θηϐαῖος [des : α, ον subst. adj. ]@Θηϐαῖος [gens : ου (ὁ) ]	de Thèbes, Thébain@Thèbæos	L'interdiction	Das Verbot	1207	616
40832	ἐκβάλλω	e)kba/llw	throw, cast out, produce	ἐκϐάλλω [tr. intr. ]	jeter hors de ; se jeter hors de, s'élancer	jeter, chasser, produire	werfen, austreiben, produzieren	921	616
78773	οὐδαμῇ	ou)damh=|	nowhere, in no place	οὐδαμῇ [adv. ]	nulle part ; nullement, d'aucune manière	nulle part, en aucun lieu	Nirgendwo, an keinem Ort	94	383
? 78772	οὐδαμῆ	ou)damh=		οὐδαμῇ [adv. ]	nulle part ; nullement, d'aucune manière			3	382
* 78798	οὐδός1	ou)do/s1	a threshold	1 οὐδός [gens : οῦ (ὁ) ]@2 οὐδός > ὁδός	seuil d'une porte ; seuil, entrée@voie	Un seuil	eine Schwelle	84	407
* 78799	οὐδός2	ou)do/s2	way	1 οὐδός [gens : οῦ (ὁ) ]@2 οὐδός > ὁδός	seuil d'une porte ; seuil, entrée@voie	façon	Weg	84	407
78808	οὐκοῦν	ou)kou=n	therefore, then, accordingly	οὐκοῦν [adv. ]	donc, eh bien donc, eh bien alors ; donc, par suite	par conséquent, donc, en conséquence	daher also entsprechend	1583	416
78725	οὔκουν	ou)/koun	certainly not	οὔκουν [adv. ]	certes ne... pas, assurément ne... pas ; pourtant ne... pas, cependant ne... pas ; donc ne... pas, par conséquent ne... pas ; donc ne... pas ? en vérité ne... pas ? ; eh ! bien donc, est-ce que ne... pas	certainement pas	sicherlich nicht	360	344
