76355	ὄνομα	o)/noma	name, reputation	ὄνομα [gens : ατος (τὸ) ]	nom	nom, réputation	Name, Ruf	3641	23
66038	κράτος	kra/tos	might, power	κράτος [gens : εος-ους (τὸ) ]	force	pourrait, puissance	Macht, Macht	542	23
58822	καίπερ	kai/per	although	καίπερ [adv. ]	quoique	bien que	obwohl	501	23
57794	ἰάομαι	i)a/omai	to heal, cure	ἰάομαι	soigner, guérir ; être guéri, délivré d'un mal	guérir, guérir	heilen, heilen	168	23
42291	ἐμφύλιος	e)mfu/lios	kinsfolk	ἐμφύλιος [des : ος, ον ]	qui est de la même tribu ou de la même race	parenté	Verwandte	108	23
99106	σκολιός	skolio/s	curved, winding, twisted, tangled	σκολιός [des : ά, όν ]	tortueux	courbé, enroulé, tordu, emmêlé	gebogen, gewunden, verdreht, verheddert	66	23
26814	ἀτρεμέω	a)treme/w	not to tremble	ἀτρεμέω	ne pas même trembler, demeurer immobile	Ne pas trembler	Nicht zu zittern	62	23
5144	Καῖσαρ	*kai=sar	elephant	Καῖσαρ [gens : αρος (ὁ) ]	César	éléphant	Elefant	1967	24
39189	ἐφεξῆς	e)fech=s	in order	ἐφεξῆς [adv. ]	de suite	en ordre	in Ordnung	321	24
78405	οἰκίζω	oi)ki/zw	found as a colony	οἰκίζω [tr. intr. ]	établir dans une demeure, installer ; établir une habitation	Trouvé comme une colonie	Als Kolonie gefunden	276	24
71181	μερίζω	meri/zw	divide	μερίζω	partager, diviser, fractionner	diviser	Teilen	152	24
? 12342	ἀδελφιδέος	a)delfide/os	nephew	ἀδελφιδεός [gens : εοῦ-οῦ (ὁ) ]	neveu	neveu	Neffe	106	24
106342	ταμιεῖον	tamiei=on	treasury	ταμιεῖον [gens : ου (τὸ) ]	lieu où l'on serre les provisions, cellier, grenier, office ; lieu de dépôt du trésor public, trésor	Trésorerie	Schatzkammer	77	24
17520	ἀναίτιος	a)nai/tios	guiltless, without blame	ἀναίτιος [des : ος α, ον ]	non coupable, non responsable, innocent ; qui n'est pas une cause	sans culpabilité, sans blâme	ohne Schuld, ohne Schuld	70	24
9243	Σινώπη	*sinw/ph	Sinope	Σινώπη [gens : ης (ἡ) ]	Sinôpè (Sinope)	Sinope	Sinope	50	24
37117	ἑπτά	e(pta/	seven	ἑπτά [indécl. ]	sept	Sept	Sieben	764	25
69129	λογίζομαι	logi/zomai	count, reckon	λογίζομαι [subst. ]	calculer	compter, compter	zählen, rechnen	595	25
6169	Λακεδαίμων	*lakedai/mwn	Lacedaemon	Λακεδαίμων [gens : ονος (ἡ) ]	Lacédémone ; adj. : de Lacédémone	Lacedaemon	Lacedaemon	507	25
54717	φυγάς	fuga/s	fugitive	φυγάς [gens : άδος (ὁ, ἡ) ]	qui fuit ; chassé de son pays, banni, exilé ; transfuge	fugitif	Flüchtling	444	25
* 11133	ἄγνος	a)/gnos	chaste-tree	2 ἄγνος [gens : ου (ὁ) ]@1 ἄγνος [gens : ου (ἡ) ]	sorte de poisson@agnus-castus ou gattilier	Chaste-tree	Keusch-baum	8	884
10543	ἁγνός	a(gno/s	full of religious awe	ἁγνός [des : ή, όν intr. ]	pur, saint, sacré ; pur, chaste ; pur, exempt de souillure	plein de respect religieux	voller religiöser Ehrfurcht	134	298
13412	ἀγός	a)go/s	a leader, chief	ἀγός [gens : οῦ (ὁ) ]	conducteur, chef	un chef, chef	ein Führer, Chef	30	67
11142	ἄγος	a)/gos	pollution, expiation	ἄγος [gens : εος-ους (τὸ) ]	ce qui doit être expié ; expiation ; respect des dieux, crainte religieuse	pollution, expiation	Verschmutzung, Sühne	41	893
11153	ἄγριος	a)/grios	savage; wild; fierce	ἄγριος [des : α, ον adv. ]	qui vit dans les champs, campagnard	sauvage; sauvage; féroce	wild; wild; heftig	356	904
634	Ἄγριος	*)/agrios	Agrios (name)	Ἄγριος [gens : ου (ὁ) ]	Agrios, (h.)	Agrios (nom)	Agrios (Name)	14	634
