94808	πυρέσσω	pure/ssw	to be feverish	πυρέσσω	avoir la fièvre	Être fiévreux	Fiebrig sein	82	857
38998	ἐξοπλίζω	e)copli/zw	arm completely	ἐξοπλίζω	désarmer	Bras complètement	Arm ganz	71	857
1881	Ἀρίστιππος	*)ari/stippos		Ἀρίστιππος [gens : ου (ὁ) ]	Aristippos (Aristippe)	Aristippos (Aristippe)		57	857
37963	ἔναγχος	e)/nagxos	just now	ἔναγχος [adv. ]	tout à l'heure, il y a un instant	juste maintenant	gerade jetzt	54	857
97890	σεμνότης	semno/ths	solemnity	σεμνότης [gens : ητος (ἡ) ]	gravité, majesté ; gravité affectée, solennité	solennité	Feierlichkeit	45	857
28680	βασιλεύω	basileu/w	to be king	βασιλεύω [tr. intr. ]	faire ou désigner roi	Être roi	König sein	1070	858
84453	περιφέρω	perife/rw	to carry round	περιφέρω	porter tout autour : faire circuler, faire passer à la ronde ; faire circuler un bruit, un mot, divulguer, faire connaître ; amener par un circuit ; ramener par un tour complet ; ramener par un retour en arrière, reporter vers le passé ; amener à terme, tenir bon ; porter hors du droit chemin, égarer	porter	herumtragen	158	858
4954	Γλαύκων	*glau/kwn		Γλαύκων [gens : ωνος (ὁ) ]	Glaukôn, (h.)	Glaukôn, (h.)		130	858
41074	ἐκγίγνομαι	e)kgi/gnomai	to be born of (a father); to be born to; to be gone away	ἐκγίγνομαι [tr. intr. ]	engendrer	être né (d'un père); être né à; être parti	geboren werden von (einem Vater); geboren werden zu; weg sein	92	858
95839	θεσμός	qesmo/s	that which is laid down and established, a law, ordinance	θεσμός [gens : οῦ (ὁ) ]	ce qui est posé, établi	ce qui est établi et établi, une loi, une ordonnance	das, was festgelegt und festgelegt ist, ein Gesetz, eine Verordnung	59	858
93783	προσπέμπω	prospe/mpw	send to	προσπέμπω	envoyer vers	envoyer à	senden an	51	858
76165	ὁποῖος	o(poi=os	of what sort	ὁποῖος [des : α, ον, adv. ]	quel, de quelle sorte	De quelle sorte	Von welcher Art	690	859
42101	ἐλλείπω	e)llei/pw	to leave in, leave behind	ἐλλείπω [tr. intr. ]	laisser derrière soi ; laisser de côté, négliger ; rester en arrière	partir, laisser derrière	zurücklassen, zurücklassen	308	859
48345	ἐπιπίπτω	e)pipi/ptw	fall upon	ἐπιπίπτω	tomber sur ; tomber sur, fondre sur ; venir après, à la suite de	tomber sur	Fallen auf	195	859
66874	κυκάω	kuka/w	to stir up	κυκάω	remuer de manière à mêler, à brouiller ; troubler en remuant, bouleverser	remuer	aufrühren	43	859
* 8031	Περσικός	*persiko/s	Persian	1 Περσικός [des : ή, όν subst. adj. ]@2 Περσικός [des : ή, όν, ]@ὁ Περσικός (in 1 Περσικός) [des : ή, όν subst. adj. ]	de Perse, persan, persique@de Persée@l'oiseau de Perse, le coq	persan	persisch	174	860
36928	ἑκκαίδεκα	e(kkai/deka	sixteen	ἑκκαίδεκα [indécl. ]	seize	seize	Sechszehn	88	860
84455	περιφερής	periferh/s	revolving	περιφερής [des : ής, ές ]	qui se meut circulairement, qui tourne, qui roule	tournant	Drehen	64	860
113294	ὤρα	w)/ra	care, concern, heed	ὤρα [gens : ας (ἡ) ]	soin, souci, sollicitude	soin, inquiétude, écoute	Sorge, Sorge, Achtung	8	791
113212	ὥρα	w(/ra	time, season, climate	ὥρα [gens : ας (ἡ) (αἱ) ]	toute division du temps, période de temps ; temps opportun, moment favorable ; les Heures	temps, saison, climat	Zeit, Jahreszeit, Klima	914	709
? 104	Ὥρα	*(/wra	the Hours, keepers of heaven΄s cloudgate	ὥρα [gens : ας (ἡ) (αἱ) ]@ὤρα [gens : ας (ἡ) ]	toute division du temps, période de temps ; temps opportun, moment favorable ; les Heures@soin, souci, sollicitude	les Heures, gardiens du cloudgate	die Stunden, Hüter des Wolkentors des Himmels	3	104
? 113663	χαλδαῖος	xaldai=os	Chaldaean	Χαλδαῖος [des : α, ον, ]	de Chaldée, Chaldéen	Chaldaean	Chaldäer	3	136
10179	Χαλδαῖος	*xaldai=os	a Chaldaean	Χαλδαῖος [des : α, ον, ]	de Chaldée, Chaldéen	un chaldéen	ein Chaldäer	112	960
113742	χαλκίς	xalki/s	Chalcis	χαλκίς [gens : ίδος (ἡ) ]	sorte d'oiseau à plumage cuivré, dans la langue des dieux, dans celle des hommes ; alose, finte ; sorte de lézard ; femme esclave ou servante	Chalcis	Chalcis	3	215
10186	Χαλκίς	*xalki/s	Chalcis, a town in Euboea on the Eurīpus	Χαλκίς [gens : ίδος (ἡ) ]	Khalkis (Chalcis)	Chalcis, une ville d'Eubée sur l'Euripus	Chalcis, eine Stadt in Euböa am Euripus	129	967
