6777	Μέγαρα	*me/gara	to Megara	Μέγαρα [gens : ων (τὰ) ]	Mégare (auj. Mégara) (v.)	À Megara	Zu Megara	176	632
11922	ἄσπετος	a)/spetos	unspeakable, unutterable, unspeakably great	ἄσπετος [des : ος, ον adv. ]	qu'on ne peut exprimer par la parole	indicible, indicible, incroyablement grand	unaussprechlich, unaussprechlich, unaussprechlich großartig	70	632
116212	ζῷον	zw=|on	animal, living thing	ζῷον [gens : ου (τὸ) ]	tout être vivant ; personnage ou figure (d'homme ou d'animal) représentés dans un tableau	animal, chose vivante	Tier, Lebewesen	1057	633
41873	ἐλάχιστος	e)la/xistos	smallest	ἐλάχιστος [des : η, ον ]	le plus petit, le moindre ; le moins nombreux possible, très peu nombreux	Le plus petit	Am kleinsten	491	633
57380	ἱκετεύω	i(keteu/w	to approach as a suppliant	ἱκετεύω	venir comme suppliant ; venir supplier	approcher comme suppliant	sich als Bittsteller zu nähern	318	633
7804	Παρνασός	*parnaso/s	Parnassus, a mountain of Phocis	Παρνασός [gens : οῦ (ὁ) ]	le Parnasse (mt)	Parnasse, une montagne de Phocis	Parnassus, ein Berg von Phocis	107	633
18131	ἀναστροφή	a)nastrofh/	a turning upside down, upsetting	ἀναστροφή [gens : ῆς (ἡ) tr. intr. ]	renversement, bouleversement : bouleverser ; action de faire tourner (un cheval) ; répétition au commencement d'une phrase du dernier mot de la phrase précédente ; action de revenir sur ses pas ; action d'aller et venir, de circuler ; délai, temps qu'on prend pour faire une chose	un bouleversement, bouleversant	ein Umdrehen, störend	72	633
64593	κλάδος	kla/dos	a young slip	κλάδος [gens : ου (ὁ) ]	petite branche arrachée, rameau	un jeune slip	ein junger Ausrutscher	60	633
94583	πτωχός	ptwxo/s	one who crouches	πτωχός [des : ή, όν, ]	qui se blottit ou se cache, humble	celui qui s'accroupit	einer, der sich hockt	121	634
! 77991	ὀρχέομαι	o)rxe/omai	dance			Danse	tanzen	99	634
56353	ἥδομαι	h(/domai	rejoice	ἥδομαι > ἥδω	réjouir, charmer	réjouir	jubeln	499	635
8830	Θησεύς	*qhseu/s	Theseus, Theseus, national hero of Athens and Attica	Θησεύς [gens : έως (ὁ) ]	Thésée	Thésée, Thésée, héros national d'Athènes et de l'Attique	Theseus, Theseus, Nationalheld von Athen und Attika	394	635
38776	ἐξευρίσκω	e)ceuri/skw	to find out, discover	ἐξευρίσκω	parvenir à trouver, découvrir ; trouver par le secours de l'intelligence, imaginer ; chercher à découvrir, explorer (un lieu) ; fournir, procurer par un effort, découvrir	découvrir, découvrir	herausfinden, entdecken	326	635
2684	Ἰησοῦς	*)ihsou=s		Ἰησοῦς [des : οῦν gens : οῦ, (ὁ) ]	Jésus-Christ	Jésus-Christ		1036	636
44996	ἐπαγγέλλω	e)pagge/llw	tell, proclaim, command	ἐπαγγέλλω	annoncer, déclarer, proclamer ; ordonner, prescrire ; solliciter, demander ; promettre ; faire profession de, professer ; faire proclamer ; ordonner ; demander ; promettre, offrir spontanément ; faire profession de	dire, proclamer, commander	erzählen, verkünden, befehlen	459	636
* 79028	πάμπαν	pa/mpan	quite, wholly, altogether	πάμπαν [adv. ]@adv. τὸ πάμπαν (in πάμπαν) [adv. ]	tout à fait, complètement, entièrement@pour toujours	tout à fait, tout à fait, tout à fait	ganz und gar ganz	159	636
24348	ἀποπίπτω	a)popi/ptw	to fall off from	ἀποπίπτω	tomber de ; sauter de	tomber de	abfallen von	46	636
6781	Μέγιλλος	*me/gillos		Μέγιλλος [gens : ου (ὁ) ]	Mégillos, (h.)	Mégillos, (h.)		43	636
29483	βουλεύω	bouleu/w	plan, deliberate	βουλεύω	être membre d'un conseil, siéger dans un conseil ; prendre des résolutions comme membre d'un conseil	planifier, délibérer	planen, absichtlich	1693	637
79924	πανοῦργος	panou=rgos	ready to do anything wicked, knavish, villanous	πανοῦργος [des : ος, ον ]	apte à tout faire	prêt à tout faire méchant, malfaisant, vilain	bereit, etwas Böses, Schurkisches, Bösartiges zu tun	116	504
? 79069	πάνουργος	pa/nourgos	ready to do anything	πανοῦργος [des : ος, ον ]	apte à tout faire	Prêt à tout faire	Bereit, alles zu tun	3	677
79109	πάππος	pa/ppos	grandfather	πάππος [gens : ου (ὁ) ]	grand-père, aïeul ; aigrette cotonneuse de certaines plantes, barbe ou duvet que le vent emporte quand la plante est défleurie ; sorte d'oiseau, fauvette	grand-père	Großvater	207	717
7638	Πάππος	*pa/ppos	grandfather	Πάππος [gens : ου (ὁ) ]	Pappos, (h.)	grand-père	Großvater	7	469
81061	παράλιος	para/lios	by the sea	παράλιος [des : α, ος, ον subst. ]	situé près de la mer, maritime ; qui concerne la vie au bord de la mer	par la mer	am Meer	300	586
? 7784	Παράλιος	*para/lios	by the sea	παράλιος [des : α, ος, ον subst. ]	situé près de la mer, maritime ; qui concerne la vie au bord de la mer	par la mer	am Meer	3	613
