* 8131	Πιτθεύς	*pitqeu/s	Pitheus; of the deme Pitthos	2 Πιτθεύς [gens : έως (ὁ) ]@1 Πιτθεύς [gens : έως (ὁ) ]	habitant ou originaire du dème Pitthée@Pitthée	Pitheus; du dieu Pitthos	Pitheus; der Deme Pitthos	48	960
* 4032	Διονύσια	*dionu/sia	the festival of Dionysus	Διονύσια [gens : ων (τὰ) ]@τὰ Διονύσια (in Διονυσιακός) [des : ή, όν ]@τὰ Διονύσια (in Διονύσια) [gens : ων (τὰ) ]	les Dionysies, fêtes de Dionysos@les concours des Dionysies@fêtes de Bacchus	le festival de Dionysos	das Fest des Dionysos	43	960
4033	Διονύσιον	*dionu/sion	the temple of Dionysus	Διονύσιον [gens : ου (τὸ) ]	temple de Dionysos	Le temple de Dionysus	Der Tempel des Dionysos	105	961
97994	σφαλερός	sfalero/s	likely to make one stumble	σφαλερός [des : ά, όν tr. intr. ]	qui fait glisser ou tomber facilement ; qui glisse ou tombe facilement	Susceptible de faire un trébucher	Wahrscheinlich stolpern	67	961
76267	ὁσημέραι	o(shme/rai	as many days as are	ὁσημέραι [adv. ]	chaque jour	Autant de jours que	So viele Tage wie sind	42	961
* 4034	Διονύσιος	*dionu/sios	of Dionysus	2 Διονύσιος [gens : ου (ὁ) ]@1 Διονύσιος [des : α, ον ]	Dionysios (Denys)@de Dionysos	De Dionysos	Von Dionysos	547	962
28784	βέβαιος	be/baios	firm, steady, certain	βέϐαιος [des : ος α, ον, ]	sur quoi l'on peut marcher, ferme, solide	ferme, stable, certain	fest, fest, sicher	536	962
58737	κάρτα	ka/rta	very, very much, strongly	κάρτα [adv. ]	fortement, fort, très, tout à fait	très, beaucoup, fortement	sehr, sehr stark	295	962
74206	ναύτης	nau/ths	sailor	ναύτης [gens : ου (ὁ) ]	marin, matelot ; compagnon, associé	marin	Seemann	216	962
8133	Πιττακός	*pittako/s	Pittacus	Πιττακός [gens : οῦ (ὁ) ]	Pittakos	Pittacus	Pittacus	60	962
18460	ἀνέλκω	a)ne/lkw	to draw up	ἀνέλκω	tirer en haut, faire monter (les plateaux d'une balance) ; tirer à terre (un navire) ; attirer (à la lumière du jour, à soi, etc.)	rédiger	zu erstellen	48	962
78320	οἴχομαι	oi)/xomai	to be gone, to have gone	οἴχομαι	aller, venir ; s'en aller, partir, se mettre en route ; être parti ; passer ; s'en aller, être perdu, passer, disparaître, périr ; cela dépend de peu de chose	être parti, être parti	weg sein, gegangen sein	774	963
49478	ἐργαστήριον	e)rgasth/rion	a factory, workshop	ἐργαστήριον [gens : ου (τὸ) ]	endroit où l'on travaille	une usine, un atelier	eine Fabrik, Werkstatt	65	963
57710	ἴφθιμος	i)/fqimos	stout, strong, stalwart	ἴφθιμος [des : η, ον ]	fort, robuste ; généreux, courageux, vaillant	robuste, fort, fidèle	kräftig, stark, standhaft	63	963
! 53607	φιλοφρονέομαι	filofrone/omai	treat			traiter	behandeln	61	963
36003	δυσφορέω	dusfore/w	to bear with pain, bear ill	δυσφορέω [tr. intr. ]	supporter avec peine	supporter la douleur, supporter le mal	mit Schmerz ertragen, krank ertragen	46	963
113467	ὠθέω	w)qe/w	to thrust, push, shove, force onwards	ὠθέω [tr. intr. ]	pousser	pousser, pousser, pousser, forcer en avant	stoßen, schieben, schieben, vorwärts zwingen	281	964
68010	λεῖος	lei=os	smooth, plain, not embroidered	λεῖος [des : α, ον ]	lisse, uni	lisse, uni, non brodé	glatt, glatt, nicht gestickt	182	964
18462	ἀνέλπιστος	a)ne/lpistos	unhoped for	ἀνέλπιστος [des : ος, ον ]	qui n'espère pas ou n'espère plus, désespéré	Incessant	Ungepflegt für	114	964
78322	οἶδα	oi)=da	to know	οἶδα > *εἴδω	se faire voir ; se rendre semblable	à savoir	wissen	7057	965
5061	Κάδμος	*ka/dmos	Cadmus, the founder of Thebes, father of Ino	Κάδμος [gens : ου (ὁ) ]	Kadmos (Cadmus)	Cadmus, le fondateur de Thèbes, père d'Ino	Cadmus, der Gründer von Theben, Vater von Ino	142	965
13286	ἀγκάλη	a)gka/lh	the bent arm	ἀγκάλη [gens : ης (ἡ) ]	objet recourbé	le bras plié	der gebogene Arm	42	965
76271	ὁσιότης	o(sio/ths	piety, holiness	ὁσιότης [gens : ητος (ἡ) ]	religion, culte des dieux, respect des dieux ; piété, sainteté, vertu	piété, sainteté	Frömmigkeit, Heiligkeit	41	965
53609	φιλοφροσύνη	filofrosu/nh	friendliness, kindliness	φιλοφροσύνη [gens : ης (ἡ) ]	sentiment d'amitié ou de bienveillance, bonté ; belle humeur, gaieté	convivialité, gentillesse	Freundlichkeit, Freundlichkeit	40	965
28788	βέλος	be/los	a missile, an arrow	βέλος [gens : εος-ους (τὸ) ]	ce qu'on lance	un missile, une flèche	eine Rakete, ein Pfeil	549	966
