99293	σκυλεύω	skuleu/w	to strip	σκυλεύω	dépouiller un ennemi tué ; piller (une ville)	à dépouiller	ausziehen	53	210
38347	ἐξάρχω	e)ca/rxw	to begin, take the lead in, initiate, teach	ἐξάρχω	mettre en train, donner le signal ; prendre l'initiative de ; être le chef de, conduire	commencer, prendre les devants, initier, enseigner	zu Beginn die Führung übernehmen, initiieren, lehren	50	210
84830	περιπίπτω	peripi/ptw	to fall around, so as to embrace	περιπίπτω	tomber à droite et à gauche ; tomber ou verser sur le côté ; tomber autour de ou sur	tomber, pour embrasser	herumfallen, um sich zu umarmen	321	211
49750	ἐρωτικός	e)rwtiko/s	of or caused by love	ἐρωτικός [des : ή, όν ]	qui concerne l'amour, d'amour ; qui convient à un amant ou à un amoureux ; porté à l'amour, de complexion amoureuse ; avide de, passionné pour	ou causée par l'amour	von oder durch Liebe verursacht	119	211
115790	ψῦχος	yu=xos	cold	ψῦχος [gens : εος-ους (τὸ) ]	souffle frais, fraîcheur, froid ; la saison froide, l'hiver	du froid	kalt	97	211
90019	πρόληψις	pro/lhyis	preconception	πρόληψις [gens : εως (ἡ) ]	action de prendre d'avance	préconception	Vorerkennung	62	211
8406	Πριαμίδης	*priami/dhs	son of Priam	Πριαμίδης [gens : ου (ὁ) ]	fils ou descendant de Priam (Hector)	fils de Priam	Sohn des Priamos	58	211
96218	θρασύνω	qrasu/nw	embolden	θρασύνω	enhardir, donner du courage à ; se vanter de	enhardir	ermutigen	50	211
67250	κῶας	kw=as	a fleece	κῶας [(τὸ) ]	toison, peau de brebis servant de couche, de tapis ou de couverture	une toison	ein Vlies	48	211
29058	βλέπω	ble/pw	see, look	βλέπω	voir ; regarder	regarder voir	seh, guck	917	212
87913	πορθέω	porqe/w	destroy, sack	πορθέω	saccager, piller, dévaster ; assiéger (une ville)	détruire, sac	zerstören, entlassen	380	212
54904	φυτεύω	futeu/w	to plant	φυτεύω	planter ; engendrer, procréer	planter	zu pflanzen	158	212
21840	ἀπειθέω	a)peiqe/w	to be disobedient	ἀπειθέω	n'être pas fidèle à, manquer à (des engagements) ; désobéir ; ne se laisser pas persuader, repousser des avances, être dédaigneux ; être incrédule	Être désobéissant	Ungehorsam sein	153	212
56958	ἤτοι	h)/toi	now, surely, truly	ἤτοι [adv. ]	certes, assurément, en vérité ; ou en vérité	maintenant, sûrement, vraiment	jetzt sicher wirklich	115	212
67251	κῶλον	kw=lon	a limb	κῶλον [gens : ου (τὸ) ]	membre d'homme ou d'animal, jambe	un membre	ein Glied	77	212
42480	ἐμπνέω	e)mpne/w	to blow	ἐμπνέω [tr. intr. ]	exhaler	souffler	Blasen	52	212
12530	ἀδοξέω	a)doce/w	to be held in no esteem	ἀδοξέω [tr. intr. ]	n'avoir pas de renom ; être peu estimé ; faire peu de cas de, mépriser ; dédaigner de ; s'indigner	À ne pas tenir en compte	In keiner Achtung gehalten werden	47	212
! 5332	Καταναῖος	*katanai=os						43	212
110640	ὑπερέχω	u(pere/xw	to hold sth over or above sth; to excel, outdo	ὑπερέχω [tr. intr. ]	tenir au-dessus, tenir élevé sur ; tenir au-dessus, lever au-dessus ; se tenir au-dessus, s'élever au-dessus ; être au-dessus de (par la taille), surpasser, dominer ; être au-dessus de, suffire largement à ; résister à, supporter	maintenir qch au-dessus ou au-dessus de qch; exceller, surpasser	etw über oder über etw halten; übertreffen, übertreffen	432	213
38303	ἐξ	e)c	from out of	ἐξ > ἐκ	« sortir de ». hors, dehors	À partir de	Von aus	3	166
36583	ἕξ	e(/c	six	ἕξ [indécl. ]	six	six	sechs	496	519
39280	ἐφιάλτης	e)fia/lths	nightmare	ἐφιάλτης [gens : ου (ὁ) ]	cauchemar qui saute sur, (qui oppresse)	cauchemar	Alptraum	3	115
2284	Ἐφιάλτης	*)efia/lths	Ephialtes, the giant, son of Alōeus, and brother of Otus	Ἐφιάλτης [gens : ου (ὁ) ]	Ephialtès	Éphialtes, le géant, fils d'Alōeus et frère d'Otus	Ephialtes, der Riese, Sohn von Alōeus und Bruder von Otus	44	236
* 37555	ἔφορος	e)/foros	an overseer, guardian, ruler	ἔφορος [des : ος, ον ]@ὁ ἔφορος (in ἔφορος) [des : ος, ον ]	qui surveille, qui veille@gardien, surveillant	un surveillant, gardien, souverain	ein Aufseher, Wächter, Herrscher	189	455
812	Ἔφορος	*)/eforos		Ἔφορος [gens : ου (ὁ) ]	Éphoros	Éphoros		107	812
