106187	τάγμα	ta/gma	ordinance	τάγμα [gens : ατος (τὸ) ]	ce qui est mis en ordre ; ordre, prescription	ordonnance	Verordnung	219	895
11144	ἄγρα	a)/gra	hunt; hunting	ἄγρα [gens : ας (ἡ) ]	chasse ; gibier, proie, butin	chasse; chasse	jagen; Jagd	81	895
104134	συμπληρόω	sumplhro/w	help to fill	συμπληρόω	aider à remplir	Aide à remplir	Helfen zu füllen	80	895
21496	ἀπαγορεύω	a)pagoreu/w	to forbid	ἀπαγορεύω [tr. intr. ]	défendre, interdire ; dissuader ; renoncer à ; se laisser aller à, succomber à	interdire	verbieten	469	896
38004	ἔνδοξος	e)/ndocos	held in esteem	ἔνδοξος [des : ος, ον ]	conforme à l'opinion commune ; renommé, célèbre, illustre	Tenu à l'estime	In Wertschätzung gehalten	173	896
* 8067	Πηλεύς	*phleu/s	Peleus, son of Aeacus	2 Πηλεύς [gens : έως (ὁ) ]@1 Πηλεύς [gens : έως (ὁ) ]	Pèlée, (qui vit dans la boue, n. de rat)@Pélée	Pélée, fils d'Aeacus	Peleus, Sohn von Aeacus	167	896
45256	ἐπανορθόω	e)panorqo/w	to set up again, restore	ἐπανορθόω	redresser, restaurer (la puissance de qqn, une institution, etc.) ; corriger, amender, améliorer	pour réinstaller, restaurer	Zum erneuten Einrichten wiederherstellen	131	896
49411	ἐρείπιον	e)rei/pion	a fallen ruin, wreck	ἐρείπιον [gens : ου (τὸ) ]	débris, ruine	une ruine tombée, une épave	eine gefallene Ruine, Wrack	120	896
87573	πολυπραγμονέω	polupragmone/w	to be busy about many things	πολυπραγμονέω	s'occuper de beaucoup de choses	Être occupé de nombreuses choses	Über viele Dinge beschäftigt sein	103	896
55588	γηράσκω	ghra/skw	to grow old, become old	γηράσκω	vieillir	vieillir, vieillir	alt werden, alt werden	98	896
27692	αὐδή	au)dh/	the human voice, speech	αὐδή [gens : ῆς (ἡ) ]	bruit	la voix humaine, la parole	die menschliche Stimme, Sprache	82	896
76202	ὁρισμός	o(rismo/s	marking out by boundaries	ὁρισμός [gens : οῦ (ὁ) ]	action de borner, de limiter	Marquant par les limites	Markierung durch Grenzen	80	896
79292	παιδάριον	paida/rion	little boy	παιδάριον [gens : ου (τὸ) ]	jeune enfant ; jeune esclave	petit garçon	kleiner Junge	70	896
29742	βρίθω	bri/qw	to be heavy	βρίθω [tr. intr. ]	charger	Être lourd	Schwer sein	46	896
23579	ἀπότομος	a)po/tomos	cut off, abrupt, precipitous	ἀπότομος [des : ος, ον ]	coupé à pic, abrupt, escarpé ; raccourci	coupé, brusque, précipité	abgeschnitten, abrupt, steil	45	896
33887	διατίθημι	diati/qhmi	arrange	διατίθημι	disposer çà et là, distribuer, répartir ; disposer, organiser, régler ; traiter bien ou mal ; disposer bien ou mal, mettre dans telle ou telle disposition d'esprit ou de corps ; exposer en détail ; disposer, régler	organiser	ordnen	613	897
93822	προσποιέω	prospoie/w	make over to, add or attach to	προσποιέω	se faire faire en outre, se faire ajouter ; attirer à soi ; se donner l'air de	faire, ajouter ou attacher à	überarbeiten, hinzufügen oder anhängen	306	897
1921	Ἀριστόδημος	*)aristo/dhmos		Ἀριστόδημος [gens : ου (ὁ) ]	Aristodèmos (Aristodème) (h.)	Aristodèmos (Aristodème) (h.)		134	897
95878	θεώρημα	qew/rhma	sight	θεώρημα [gens : ατος (τὸ) ]	ce qu'on peut contempler ; contemplation, méditation, recherche	vue	Sehenswürdigkeit	56	897
11146	ἄγραφος	a)/grafos	unwritten	ἄγραφος [des : ος, ον ]	non écrit ; non écrit, non recouvert d'écriture ; non peint	non écrit	Ungeschrieben	42	897
7042	Μίδας	*mi/das	Midas	Μίδας [gens : ου (ὁ) ]	Midas	Midas	Midas	40	897
54566	φρονέω	frone/w	be minded, understand, be wise	φρονέω [tr. intr. ]	avoir la faculté de penser et de sentir, vivre ; être dans son bon sens ; penser ; être sensé, sage, prudent ; avoir dans l'esprit ; songer à, projeter de	avoir l'esprit, comprendre, être sage	Sei bedacht, verstehe, sei weise	1203	898
106190	τάλαντον	ta/lanton	talent, (large sum of silver=600 drachma)	τάλαντον [gens : ου (τὸ) ]	plateau de balance ; talent	talent, (grande somme d'argent = 600 drachmes)	Talent, (große Summe Silber = 600 Drachme)	1033	898
49413	ἐρείπω	e)rei/pw	throw	ἐρείπω [tr. intr. ]	renverser, abattre (un mur, etc.) ; tomber, s'abattre	jeter	werfen	69	898
12192	ἀβουλία	a)bouli/a	want of counsel, thoughtlessness	ἀϐουλία [gens : ας (ἡ) ]	irréflexion, imprudence	manque de conseil, insouciance	Mangel an Rat, Gedankenlosigkeit	50	898
