55849	γνήσιος	gnh/sios	(born in wedlock); genuine, legitimate	γνήσιος [des : α, ον ]	qui provient de naissance ; de naissance légitime, p. opp. à « illégitime, bâtard » ; légitime de bon aloi, véritable, sincère ; sorte d'oiseau de proie	(né dans le mariage); authentique, légitime	(ehelich geboren); echt, legitim	266	133
50712	εἰσοράω	ei)sora/w	to look into, look upon, view, behold	εἰσοράω	avoir les yeux dirigés vers ou sur	regarder, regarder, voir, voir	schauen, schauen, sehen, sehen	422	133
66148	κρατύνω	kratu/nw	to strengthen	κρατύνω	affermir ; fortifier ; tenir fortement ; se rendre maître de, posséder ; gouverner, diriger ; faire prévaloir, établir victorieusement que ; fortifier pour soi ; affermir, confirmer	à renforcer	zur Stärkung der	92	133
* 68205	λεπτόν	lepto/n		λεπτόν [gens : οῦ (τὸ) ]@adv. λεπτόν (in λεπτός) [des : ή, όν adv. ]	petite pièce de monnaie, menue monnaie ; l'intestin grêle ; minute, soixantième partie d'un degré@d'une voix délicate			42	133
* 72349	μηδείς	mhdei/s	not one, nobody	μηδείς [des : μηδεμία, μηδέν, gens : μηδενός, μηδεμίας, μηδενός, adv. ]@ὁ μηδείς (in μηδείς) [des : μηδεμία, μηδέν, gens : μηδενός, μηδεμίας, μηδενός, adv. ]	aucun, nul, personne@celui qui n'est rien	pas un, personne	nicht einer, niemand	5134	133
85780	πιστόω	pisto/w	to make trustworthy	πιστόω [tr. intr. ]	engager sa foi, se porter garant	faire confiance	vertrauenswürdig machen	45	133
87834	πορεύω	poreu/w	to bring, mid. go, walk	πορεύω	faire passer, transporter ; conduire, escorter ; envoyer, députer	à apporter, mi. va marcher	zu bringen, Mitte. geh, geh	1257	133
27954	αὐτόχθων	au)to/xqwn	sprung from the land itself	αὐτόχθων [des : ων, αὔτοχθον, gens : -ονος ]	issu du sol même, indigène ; qui naît du sol même, sans culture, sauvage	Sorti de la terre elle-même	Aus dem Land selbst entsprungen	76	134
38271	ἔτι	e)/ti	still, yet, besides, already	ἔτι [adv. ]	encore ; tout de suite, aussitôt ; dès lors, alors ; encore, en outre, de plus	encore, d'ailleurs, déjà	noch, noch, außerdem schon	8034	134
39299	ἐφόδιον	e)fo/dion	supplies for travelling	ἐφόδιον [gens : ου (τὸ) ]	provisions de voyage ou frais de route, pour une armée ; provisions, ressources	Fournitures pour voyager	Lieferungen für Reisen	80	134
10377	Ζήνων	*zh/nwn		Ζήνων [gens : ωνος (ὁ) ]	Zènôn (Zénon)	Zènôn (Zénon)		183	134
69238	λοιπός	loipo/s	remainder, remaining over	λοιπός [des : ή, όν adv. ]	restant, qui reste	reste, restant	Rest, bleibt vorbei	3086	134
74406	νεφέλη	nefe/lh	cloud	νεφέλη [gens : ης (ἡ) ]	ce qui couvre	nuage	Wolke	121	134
81635	παραμυθέομαι	paramuqe/omai	to encourage	παραμυθέομαι	exhorter	encourager	ermutigen	87	134
47614	ἐπιδρομή	e)pidromh/	a sudden inroad, a raid, attack	ἐπιδρομή [gens : ῆς (ἡ) ]	action de courir sur ou vers, mouvement (des vagues) ; action de courir contre, incursion, attaque ; lieu pour aborder, pour atterrir	une incursion soudaine, un raid, une attaque	ein plötzliches Eindringen, ein Überfall, ein Angriff	45	135
100244	στενός	steno/s	narrow; (pl.) narrows; straits; mountain pass	στενός [des : ή, όν, subst. ]	étroit, resserré	étroit; (pl.) se rétrécit; détroits; col de montagne	eng; (pl.) verengt sich; Meerenge; Bergpass	447	135
38273	ἔτος	e)/tos	a year	ἔτος [gens : εος-ους (τὸ) ]	an, année	une année	ein Jahr	2487	136
96143	θόρυβος	qo/rubos	uproar, confusion	θόρυϐος [gens : ου (ὁ) ]	bruit confus, tumulte, bruit ou tumulte d'une assemblée ; trouble, confusion	tumulte, confusion	Aufruhr, Verwirrung	311	136
63070	καταχέω	kataxe/w	to pour down upon, pour over	καταχέω	verser de haut en bas	versez sur, versez sur	übergießen, übergießen	94	136
76468	ὄψις	o)/yis	sight, appearance	ὄψις [gens : εως (ἡ) ]	action de voir, la vue ; organe de la vue, œil ; apparence extérieure d'une chose, aspect, air ; vue, spectacle ; apparition, vision, rêve	vue, apparence	Anblick, Aussehen	847	136
107478	τηρέω	thre/w	protect, give heed, observe	τηρέω	avoir la garde de, veiller sur, (maison, ville, etc.) ; observer, épier, guetter ; observer, pratiquer l'observance de, conserver, garder	protéger, prêter attention, observer	schützen, beachten, beobachten	510	136
38274	ἔτυμος	e)/tumos	true, real, actual	ἔτυμος [des : ος η, ον subst. adv. ]	vrai, réel, véritable (parole, nouvelle, bruit, etc.)	vrai, réel, réel	wahr, real, aktuell	40	137
65125	κόπος	ko/pos	striking	κόπος [gens : ου (ὁ) ]	coup ; peine, souffrance ; fatigue, lassitude	frappant	Auffallend	94	137
77494	ὀπτάω	o)pta/w	to roast, broil	ὀπτάω	faire cuire	rôtir, griller	braten, braten	69	137
76469	ὄψον	o)/yon	cooked meat	ὄψον [gens : ου (τὸ) ]	tout aliment préparé sur le feu ; tout ce qu'on mange avec le pain	viande cuite	gekochtes Fleisch	103	137
